source_text,reference_translation,translation_marian,translation_m2m
Letzteres dauerte noch eine Weile.,The latter takes some more time.,The latter lasted a while.,The latter lasted a while.
Alles ist genau geregelt und wird auch eingehalten.,Everything is exactly regulated and will be respected.,Everything is precisely regulated and is also respected.,Everything is properly arranged and will be followed.
Dort traf er auch mit General Eisenhower zusammen.,"There, he also met up with General Eisenhower.",He also met General Eisenhower there.,He also met with General Eisenhower.
Bitte schalten Sie alle Ihr Mobiltelefon aus.,Please turn off your mobile phones.,Please turn off all your mobile phone.,Please turn off all your mobile phone.
Das muss man doch eleganter ausdrücken können!,That has to be explained more elegant!,You must be able to say that more elegantly!,You need to be able to express it more elegantly.
Als Therapie gegen das Stottern hat die Ärztin Manuel empfohlen zu singen.,The doctor suggested Manuel should sing to treat his stutter.,"As therapy against stuttering, doctor Manuel recommended singing.","As a therapy against stuttering, the doctor Manuel recommended to sing."
"Leonie und Paul streiten sich darum, wer als erstes auf das Schaukelpferd darf.",Leonie and Paul argue about who gets to go on the rocking horse first.,Leonie and Paul argue about who gets to be the first one on the rocking horse.,Leonie and Paul are struggling about who will be the first to get on the shark.
Im Osten sagt man dazu Herrentag.,In the East this is called the day of the men.,"In the East, it's called Herrentag.",In the east it is called the Lord’s Day.
Bratislava ist die Hauptstadt der Slowakei.,Bratislava is the capital of Slovakia.,Bratislava is the capital of Slovakia.,Bratislava is the capital of Slovakia.
Von Fort William ist der Beginn des Wegs etwa zwei Kilometer entfernt.,The start of the trail is about two kilometers away from Fort William.,From Fort William is the beginning of the path about two kilometers away.,"From Fort William, the start of the road is about two kilometers away."
Einparkrempler sind ein häufiger Schaden an Stoßstangen und Kotflügeln.,Parking ramps are a more common damage to bumpers and fenders.,Parking rampers are frequent damage to bumpers and fenders.,Inpark remplers are a frequent damage to shock stalls and coat flocks.
Asmara ist die Hauptstadt von Eritrea.,Asmara is the capital of Eritrea.,Asmara is the capital of Eritrea.,Asmara is the capital of Eritrea.
Elisabeth reibt sich verwundert die Augen.,Elisabeth rubs her eyes surprised.,Elizabeth rubs her eyes astonished.,Elisabeth wiped her eyes surprisingly.
Drehort ist die Stadt Sheffield in England.,It is filmed in the town of Sheffield in England.,The filming location is the city of Sheffield in England.,It is the city of Sheffield in England.
Alle vier Zylinder trieben die erste Achse an.,All four cylinders power the first axle.,All four cylinders drove the first axle.,All four cylinders push the first axis.
Anschliessend erfolgte die Trennung von Sony Music Entertainment.,After that the separation from Sony Music Entertainment followed.,==References====External links==* Official website,This was the result of Sony Music Entertainment.
Darüber hinaus bieten sie zahlreichen Fischen sowie anderen Meerestieren Unterschlupf.,"In addition, they also provide refuge for countless fish and other marine creatures.",They also provide shelter for numerous fish and other marine species.,"In addition, they offer numerous fish as well as other seafarers."
Als Verwaltungssitz wurde von Anfang an die Stadt Bloomfield ausgewählt.,From the beginning the town of Bloomfield was chosen to be the administrative seat.,Bloomfield is a town in the U.S. state of North Rhine-Westphalia.,The city of Bloomfield was chosen as the administrative seat from the beginning.
Der Junge muss lernen sich zu wehren.,The boy should learn to protect himself.,The boy must learn to fight back.,The boy must learn to defend himself.
Angeblich wurde Honoria lebenslang eingekerkert.,Honoria was said to be incarcerated for life.,"Allegedly, Honoria was imprisoned for life.",Honoria was claimed to have been imprisoned for a lifetime.
"Staton wuchs in Tennessee auf, wo er die Milan High School besuchte.","Staton grew up in Tennessee, where he attended the Milan High School.","Staton grew up in Tennessee, where he attended Milan High School.",Staton grew up in Tennessee where he attended Milan High School.
"Es ist mit Eis und Glätte zu rechnen, fahren Sie daher besonders vorsichtig.","Ice and slipperiness are expected, so drive very carefully.","It is to be reckoned with ice and smoothness, therefore drive particularly carefully.","It is expected with ice and smoothie, so drive especially carefully."
Mit Y oder mit I?,With Y or I?,With Y or with I?,With Y or with I?
"Das Problem ist, wir denken nicht groß genug.",The problem is we aren’t thinking big enough.,"The problem is, we don't think big enough.",The problem is that we don’t think big enough.
Dieser Tempel wurde unter der Herrschaft des Lepidus fertiggestellt und brannte unter Claudius nieder.,This temple was constructed under the reign of Lepidus and burned down under Claudius.,This temple was completed under the rule of Lepidus and burned down under Claudius.,This temple was completed under the rule of Lepidus and burned under Claudius.
Josef hat immer eine Flasche Wasser an seinem Nachttisch stehen.,Josef always keeps a water bottle on his night stand.,Joseph always has a bottle of water at his bedside table.,Joseph always had a bottle of water on his night table.
Die für ihre Größe schwer bewaffneten U-Boote waren wendig und konnten sehr schnell abtauchen.,"The submarines, that were heavily armed for their size, were agile and could descend very quickly.","The submarines, heavily armed for their size, were agile and could dive very quickly.",The submarines heavily armed for their size were wasted and could dive very quickly.
Die Schleuse war durch die Folgen des Zweiten Weltkriegs kurzzeitig funktionsunfähig.,The airlock was short time disabled because of the consequences of the second World War.,The lock was temporarily incapacitated by the consequences of the Second World War.,It was shortly unfunctionable due to the consequences of World War II.
Lass uns ein Tandem leihen!,Let us borrow a tandem.,Let's borrow a tandem!,Let us borrow a tooth!
Gibt es neue Nachrichten?,Are there any new messages?,Is there any news?,Are there new news?
Es war der zweite Sieg für die Italiener.,It was the second victory for the Italians.,It was the second victory for the Italians.,This was the second victory for the Italians.
Marianne verschwindet auf einer Mittelmeerinsel.,Marianne disappears on the Mediterranean island.,Marianne disappears on a Mediterranean island.,Marianne disappears on a Mediterranean island.
Diese wachsen dann in fünf Tagen auf eine Größe von etwa vier Millimetern.,These then grow to a size of approximately four millimeters within five days.,These then grow in five days to a size of about four millimeters.,These then grow to a size of about four millimeters in five days.
Zuckerguss auf die Torte oder den Kuchen sind das I-Tüpfelchen beim Backen.,Frosting on the cake or the pie is the icing on the cake.,Icing on the cake or the cake is the icing on the cake when baking.,The sugar output on the cake or the cake is the I-trap when baking.
Herzstück bildeten die so genannten „Killing Fields“.,"The so-called ""Killing Fields"" represented the core.","At the heart of the project were the so-called ""Killing Fields"".",The core was formed by the so-called “Killing Fields”.
Der Ernst des Lebens beginnt noch früh genug.,The seriousness of life begins soon enough.,The seriousness of life begins soon enough.,The seriousness of life begins early enough.
Was steht in den Büchern zu diesem Abschnitt?,What is written in the books regarding this section?,What does the books say about this section?,What is in the books about this section?
Dort arbeitete er im Hauptausschuss mit und war Vorsitzender des Verfassungsausschusses.,There he worked on the main committee and was the chairman of the constitutional committee.,There he worked on the Main Committee and was chairman of the Constitutional Committee.,He worked with the General Committee and was the chairman of the Constitutional Committee.
Oliver Friederici ist in West-Berlin geboren und aufgewachsen.,Oliver Friederici was born and raised in West Berlin.,Oliver Friederici was born and raised in West Berlin.,Oliver Friederici was born and raised in West Berlin.
Auch die Ausleuchtung von Innenräumen gewerblicher und privater Natur wird als Beleuchtungskonzept bezeichnet.,The illumination of the interiors of commercial and private spaces is also described as a lighting concept.,The illumination of indoor spaces of commercial and private nature is also referred to as the lighting concept.,Also the illumination of the interiors of commercial and private nature is called the lighting concept.
