sample_id,source_text,reference_translation,fp32_translation,int8_translation,fp32_output_tokens,int8_output_tokens,delta_output_tokens,fp32_chrf,int8_chrf,delta_chrf,seq_loss_hyp,length_group
common_voice_de_19155031,Der Reiseschriftsteller Pausanias nennt ihn in seiner Beschreibung der Insel an erster Stelle.,The travel author Pausanias mentions them on first place in his description of the island.,"In his description of the island, the travel writer Pausanias mentions him first.","In his description of the island, Pausanias mentions it first.",21,18,3,62.40043197526054,56.310343904933866,6.090088070326672,0.5388938188552856,INT8 shorter
common_voice_de_18217624,Bei ihrer Ankunft berichteten die Rückkehrer von ihrer nervenaufreibenden Odyssee.,"Upon arrival, the returnees told about the irritating Odyssee .","On their arrival, the returnees reported on their nerve-depleting odyssey.","On arrival, the returnees reported on their annoying odyssey.",22,17,5,46.3309844254079,48.01837612573252,-1.6873917003246248,0.48296403884887695,INT8 shorter
common_voice_de_19163688,In der Zeit des Nationalsozialismus war Böhm Gastwirt in Bielefeld.,"During the Nazis era, Böhm was an innkeeper in Bielefeld.","At the time of National Socialism, Böhm was an innkeeper in Bielefeld.","During the Nazi era, Böhm was an innkeeper in Bielefeld.",20,17,3,65.54277145266147,91.10868327265604,-25.565911819994568,0.43804797530174255,INT8 shorter
common_voice_de_19689096,"Draußen wartet die Kutsche zum Duell, das er ganz vergessen hat.","Outside the carriage to the duel, which he completely forgot about, awaits.","Outside, the carriage waits for the duel, which he forgot completely.","Outside, the carriage waits for the duel he forgot.",18,15,3,63.28634245531697,41.536776974690426,21.749565480626543,0.6219673156738281,INT8 shorter
common_voice_de_18212942,Bei Sauerstoffüberschuss wiederum können Stickoxide entstehen.,"In case of excess Oxygen, Nitrogen oxide van be formed.","In turn, nitrogen oxides can be produced with oxygen excess.","With oxygen excess, nitrogen oxides can arise.",15,12,3,37.778215434517634,34.38303729517025,3.3951781393473865,0.7019210457801819,INT8 shorter
common_voice_de_18469860,Allen Unkenrufen zum Trotz kamen sie rechtzeitig in Barcelona an.,Nobody thought they would make it to Barcelona in time.,"They arrived in Barcelona in good time, despite all the uncircumstances.","They arrived in Barcelona in good time, despite all the calls.",21,15,6,28.675056434703546,28.61244593421763,0.06261050048591699,0.9010258316993713,INT8 shorter
common_voice_de_19947763,Weltjugendtages in Rio de Janeiro und konnte hier Papst Franziskus begrüßen.,World Youth Day in Rio de Janeiro and was able to greet Pope Franziskus.,World Youth Day in Rio de Janeiro and was able to welcome Pope Francis here.,World Youth Day in Rio de Janeiro and welcomed Pope Francis here.,18,15,3,76.26059545193762,63.226384506038926,13.034210945898693,0.3897393047809601,INT8 shorter
common_voice_de_19990675,"Erfrierungen waren häufig, und nicht selten verloren Besatzungsmitglieder dadurch Finger.",Frostbites were common and quite often crew members even lost fingers as a consequence.,"Freezings were common, and not infrequently lost crew members' fingers.","Freezings were frequent, and often lost crew members thereby fingers.",20,16,4,40.02018164978515,36.813337219721404,3.2068444300637466,0.6381495594978333,INT8 shorter
common_voice_de_19491045,Jetzt erst konnte er einen allgemeinen Landfrieden stiften.,Only then he was able to promote general public peace.,It was only now that he was able to establish a general peace.,Only now he was able to establish a general peace.,16,13,3,47.6646325561974,51.004753250929745,-3.3401206947323487,0.7498438358306885,INT8 shorter
common_voice_de_18425445,Verbinden Sie mich mit der Beratungsstelle für von Steuerfahndern verfolgten Superreichen!,Get me the help desk for those super rich who are being pursued by tax investigators.,Connect me to the super-rich manhunt counseling center!,Connect me to the super-rich tax enforcement consultancy!,16,13,3,15.553472576566566,17.057108205596503,-1.5036356290299366,1.2169018983840942,INT8 shorter
