sample_id,source_text,reference_translation,fp32_translation,int8_translation,fp32_output_tokens,int8_output_tokens,delta_output_tokens,fp32_chrf,int8_chrf,delta_chrf,seq_loss_hyp
common_voice_de_19155031,Der Reiseschriftsteller Pausanias nennt ihn in seiner Beschreibung der Insel an erster Stelle.,The travel author Pausanias mentions them on first place in his description of the island.,"In his description of the island, the travel writer Pausanias mentions him first.","In his description of the island, Pausanias mentions it first.",21,18,3,62.40043197526054,56.310343904933866,6.090088070326672,0.5388938188552856
common_voice_de_18217624,Bei ihrer Ankunft berichteten die Rückkehrer von ihrer nervenaufreibenden Odyssee.,"Upon arrival, the returnees told about the irritating Odyssee .","On their arrival, the returnees reported on their nerve-depleting odyssey.","On arrival, the returnees reported on their annoying odyssey.",22,17,5,46.3309844254079,48.01837612573252,-1.6873917003246248,0.48296403884887695
common_voice_de_19163688,In der Zeit des Nationalsozialismus war Böhm Gastwirt in Bielefeld.,"During the Nazis era, Böhm was an innkeeper in Bielefeld.","At the time of National Socialism, Böhm was an innkeeper in Bielefeld.","During the Nazi era, Böhm was an innkeeper in Bielefeld.",20,17,3,65.54277145266147,91.10868327265604,-25.565911819994568,0.43804797530174255
common_voice_de_19689096,"Draußen wartet die Kutsche zum Duell, das er ganz vergessen hat.","Outside the carriage to the duel, which he completely forgot about, awaits.","Outside, the carriage waits for the duel, which he forgot completely.","Outside, the carriage waits for the duel he forgot.",18,15,3,63.28634245531697,41.536776974690426,21.749565480626543,0.6219673156738281
common_voice_de_18212942,Bei Sauerstoffüberschuss wiederum können Stickoxide entstehen.,"In case of excess Oxygen, Nitrogen oxide van be formed.","In turn, nitrogen oxides can be produced with oxygen excess.","With oxygen excess, nitrogen oxides can arise.",15,12,3,37.778215434517634,34.38303729517025,3.3951781393473865,0.7019210457801819
common_voice_de_18469860,Allen Unkenrufen zum Trotz kamen sie rechtzeitig in Barcelona an.,Nobody thought they would make it to Barcelona in time.,"They arrived in Barcelona in good time, despite all the uncircumstances.","They arrived in Barcelona in good time, despite all the calls.",21,15,6,28.675056434703546,28.61244593421763,0.06261050048591699,0.9010258316993713
common_voice_de_19947763,Weltjugendtages in Rio de Janeiro und konnte hier Papst Franziskus begrüßen.,World Youth Day in Rio de Janeiro and was able to greet Pope Franziskus.,World Youth Day in Rio de Janeiro and was able to welcome Pope Francis here.,World Youth Day in Rio de Janeiro and welcomed Pope Francis here.,18,15,3,76.26059545193762,63.226384506038926,13.034210945898693,0.3897393047809601
common_voice_de_19990675,"Erfrierungen waren häufig, und nicht selten verloren Besatzungsmitglieder dadurch Finger.",Frostbites were common and quite often crew members even lost fingers as a consequence.,"Freezings were common, and not infrequently lost crew members' fingers.","Freezings were frequent, and often lost crew members thereby fingers.",20,16,4,40.02018164978515,36.813337219721404,3.2068444300637466,0.6381495594978333
common_voice_de_19491045,Jetzt erst konnte er einen allgemeinen Landfrieden stiften.,Only then he was able to promote general public peace.,It was only now that he was able to establish a general peace.,Only now he was able to establish a general peace.,16,13,3,47.6646325561974,51.004753250929745,-3.3401206947323487,0.7498438358306885
common_voice_de_18425445,Verbinden Sie mich mit der Beratungsstelle für von Steuerfahndern verfolgten Superreichen!,Get me the help desk for those super rich who are being pursued by tax investigators.,Connect me to the super-rich manhunt counseling center!,Connect me to the super-rich tax enforcement consultancy!,16,13,3,15.553472576566566,17.057108205596503,-1.5036356290299366,1.2169018983840942
common_voice_de_19765160,Sie wurden wie Türklinken an dem Werk angebracht.,They were attached to the work like doorknobs.,They were attached to the work like doorknobs.,They were attached to the work like door handles.,15,12,3,100.0,83.26571401304406,16.73428598695594,0.627044141292572
common_voice_de_18668634,"Was die Zahlungsmoral angeht, schweigt er lieber.",He prefers to remain mum when it comes to payment practice.,He prefers to keep quiet about the morale of payment.,He prefers to keep quiet about payment standards.,15,12,3,34.6102814438617,34.07492098945633,0.535360454405371,0.7064697742462158
common_voice_de_19161700,"Manches aber gerate ihm überspitzt und salopp, worunter die Zuverlässigkeit leide.","Some of it turns out to be exaggerated and casual, which undermines his reliability.","But there are many things that overwhelm him, and they are saloped, which are a source of reliability.",But there are many things that overwhelm him and make him feel good about the reliability of it.,27,23,4,30.82009051469453,26.450083887909788,4.370006626784743,1.3245832920074463
common_voice_de_19658785,Bis heute ist der Verbleib einiger der Geldmittel des Vereins unklar.,Until today some of the club's funds remain unclear.,"To this day, the existence of some of the club's funds is unclear.","To this day, some of the association's funds remain unclear.",19,16,3,57.33249744453977,62.21339118373973,-4.880893739199962,0.5758424997329712
common_voice_de_19154490,"Für die Produktion ""Der blaue Planet"" der Gruppe Karat leitete er die beteiligte Streichergruppe.","For production of ‘‘The Blue Planet’’ of the band Karat, he directed the affiliated string group.","For the production ""Der blaue Planet"" of the group Karat he led the involved string group.","For the production ""The Blue Planet"" of the group Karat he led the string group involved.",25,22,3,43.024781542223344,44.69139099979628,-1.6666094575729389,0.5093207359313965
common_voice_de_19757635,"Auch dieser Gang war mit bemalten Reliefs dekoriert, die hier unter anderem Jagdszenen darstellten.","The aisle was also decorated with painted reliefs, which depicted hunting scenes.","This passage was also decorated with painted reliefs, which represented hunting scenes, among other things.","This passage was also decorated with painted reliefs, which included hunting scenes.",21,17,4,73.10281735467372,77.99929297464084,-4.89647561996712,0.5058116316795349
common_voice_de_18421245,Daraufhin hat der Rottweiler einen Fußgänger angefallen.,As a result a Rottweiler attacked a pedestrian.,"As a result, the Rottweiler attacked a pedestrian.",The Rottweiler then attacked a pedestrian.,14,11,3,86.78081705801637,63.48568103466854,23.29513602334783,0.47210001945495605
common_voice_de_18194862,"Ob sie das schaffen werden?, stellt Waldemar das Vorhaben infrage.",Will they make it?” Waldemar questions the project.,"Will they be able to do that?, Waldemar questions the project.","Will they do so?, Waldemar questions the project.",18,15,3,71.30032587848697,73.88087022141714,-2.5805443429301675,0.7299938797950745
common_voice_de_18184857,"Ich wische jetzt die Tafel, währenddessen könnt ihr reden.",I will clean the table now in the mean time you can talk.,"I'm wiping the board now, and you can talk during that.","I'll wipe the board now, but you can talk.",18,15,3,29.771238804968984,31.42269802657904,-1.6514592216100574,0.7399619817733765
common_voice_de_19129952,Der Ortsname leitet sich von einem gleichlautenden Flurnamen ab.,The name of the place derives from the meadow of the same name.,The name of the village derives from the same name.,==References====External links==* Official website,14,10,4,66.97427938961512,7.246421283410428,59.72785810620469,0.6910359859466553
