sample_id,gold_german_source,gold_english_reference,audio_path,whisper_hypothesis,asr_inference_time_ms,asr_wer,asr_cer,clean_fp32_translation,clean_int8_translation,asr_fp32_translation,asr_int8_translation
0027,"Wirklich?
Ne, ich finde das ganz schrecklich.","Really?
No, I think that's totally awful.",D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\mslt\MSLT_Test_DE_0027.T0.de.wav,"Wirklich? Nee, ich finde das ganz schrecklich.",1189.922800000204,0.25819344524380494,0.13827655310621242,"No, I think it's awful.","No, I think it's terrible.","No, I think it's terrible.","No, I think it's terrible."
0107,"Ja, aber ich absagen.
Ich esse, glaub ich, nicht soviel Fleisch.
Ich war sogar ein Jahr Vegetarier.","Yes, but I cancel.
I don't think I eat a lot of meat.
I have even been a vegetarian for a year.",D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\mslt\MSLT_Test_DE_0107.T0.de.wav,"Ja, aber ich muss sagen, ich esse glaube ich nicht so viel Fleisch, ich war sogar ein Jahr vegetarier.",1231.3035999995918,0.25819344524380494,0.13827655310621242,"I don't think I eat that much meat, I've even been a year vegetarian.",I don't think I eat that much meat. I was even a year vegetarian.,"Yeah, but I have to say, I don't think I eat that much meat, I was even a year vegetarian.","Yeah, but I have to say, I don't think I eat that much meat, I was even a year vegetarian."
0113,Chinesisches Essen.,Chinese food.,D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\mslt\MSLT_Test_DE_0113.T0.de.wav,Kinesisches Essen.,1089.9595999999292,0.25819344524380494,0.13827655310621242,Chinese food.,Chinese food.,Kinese food.,Kinese food.
0128,"Ess ich vielleicht hin und wieder nur etwas Eiscreme.
Denn Eiscreme esse ich auch sehr gerne.
Vielleicht nur am Wochenende.
Am Freitag oder am Samstag.","Every now and then I'll eat just a little bit of ice-cream.
Because I also really like to eat ice-cream.
Perhaps only on the weekend.
On Friday or Saturday.",D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\mslt\MSLT_Test_DE_0128.T0.de.wav,"Es sich vielleicht hin und wieder nur etwas Eiscreme, denn Eiscreme es sich auch sehr gerne. Vielleicht nur am Wochenende, am Freitag oder am Samstag.",1318.2276999996247,0.25819344524380494,0.13827655310621242,"I might just eat some ice cream every now and then, because I like ice cream, too. Maybe only on the weekend. On Friday or Saturday.","I might just eat some ice cream every now and then, because I like ice cream, too. Maybe only on weekends. On Friday or Saturday.","It may be just a little ice cream, because ice cream likes it too. Maybe only on weekends, on Fridays or Saturdays.","It might be just a little ice cream now and then, because ice cream likes it too. Maybe only on weekends, on Fridays or Saturdays."
0137,"Auch wenn sie selber nicht probieren können und wenn sie selber gar nicht wissen, ob es überhaupt schmeckt.
Vielleicht schmeckt es noch nicht mal den Juroren auf der Show.
Aber das werden wir niemals wissen.","Even when they can't try it themselves and have no idea at all whether it tastes good.
Perhaps it's not even to the liking of the jury members in the show.
But we'll never know.",D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\mslt\MSLT_Test_DE_0137.T0.de.wav,"Auch wenn sie selber nicht probieren können und wenn sie selber gar nicht wissen, ob es überhaupt schmeckt, vielleicht schmeckt es noch nicht mal den Juroren auf der Show. Aber das werden wir niemals wissen.",1428.5053000003245,0.25819344524380494,0.13827655310621242,Even if they can't try it themselves and if they don't even know if it tastes good at all. Maybe it doesn't even taste good for the jurors on the show. But we'll never know that.,Even if they can't try it themselves and if they don't even know if it tastes good. Maybe it doesn't even taste like the jurors on the show. But we'll never know that.,"Even if they can't try themselves and if they don't even know if it tastes good at all, maybe it doesn't even taste good for the jurors on the show. But we'll never know that.","Even if they can't try it themselves and if they don't even know if it tastes good, maybe it doesn't even taste like the jurors on the show. But we'll never know that."
0138,Ja.,Yes.,D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\mslt\MSLT_Test_DE_0138.T0.de.wav,Ja.,1126.0440999994898,0.25819344524380494,0.13827655310621242,Yeah.,Yeah.,Yeah.,Yeah.
0186,"Rennmäuse heißen die, oder so ähnlich.
Und die sind halt in wie so einem Terrarium.
Und die rennen die ganze Zeit rum.
Die kann man auch nicht richtig rausnehmen.","They're called gerbils or something like that.
And they are just in a sort of terrarium.
And they run around the whole time.
You can't really take them out properly.",D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\mslt\MSLT_Test_DE_0186.T0.de.wav,"Die Renten, die sind in Wiss und Trarium und die Renten, die ganze Zeit rum, die kann aber auch nicht richtig rausnehmen.",1317.1342000005097,0.25819344524380494,0.13827655310621242,"They're called racing mice, or something like that, and they're just like a terrarium, and they're running around all the time, and you can't really take them out.","They're called racing mice, or something like that, and they're just like a terrarium, and they're running around all the time, and you can't really take them out.","The pensions, they're in Wiss and Trarium and the pensions, all the time around, but they can't really take them out.","The pensions, they're in Wiss and Trarium and the pensions, all the time around, but they can't take them out properly either."
0196,"Ja, das ist natürlich schön.
Ja, unsere ist auch","Yeah, that's nice of course.
Yes, ours is also",D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\mslt\MSLT_Test_DE_0196.T0.de.wav,"Ah, ja, das ist natürlich schön. Ja, unsere ist auch...",1226.3442999992549,0.25819344524380494,0.13827655310621242,"Yes, of course that's nice. Yes, ours is also","Yeah, that's nice, of course.","Oh, yeah, that's nice, of course.","Oh, yeah, that's nice, of course."
0201,"Also ja, auf unsere Betten dürfen sie tatsächlich.","So yes, they're really allowed on our beds.",D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\mslt\MSLT_Test_DE_0201.T0.de.wav,"aufs Bett, auf unsere Betten dürfen sie tatsächlich.",1207.356400000208,0.25819344524380494,0.13827655310621242,"So, yes, they can actually go to our beds.","So, yes, they can actually go to our beds.","on the bed, on our beds they can actually.","On the bed, on our beds, they can actually."
0239,"Facebook, die können es eigentlich in Deutschland immer einmal am Tag, so würde ich sagen.","Facebook, in Germany they can always do it once a day, that's how I'd say it.",D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\mslt\MSLT_Test_DE_0239.T0.de.wav,"Facebook, die können es eigentlich in Deutschland immer einmal am Tag so, würde ich sagen.",1231.4607000007527,0.25819344524380494,0.13827655310621242,"Facebook, they can actually do it in Germany once a day, so I would say.","Facebook, they can actually do it in Germany once a day, so I would say.","Facebook, they can actually do it in Germany once a day like that, I would say.","Facebook, they can actually do it in Germany once a day like that, I would say."
0271,"Und dann gibt's solche Gesetze in den USA, dass Apple auch nicht drüber sprechen darf und solche Geschichten.
Und","And then there are these laws in the USA that Apple is also not allowed to talk about that and such stories.
And",D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\mslt\MSLT_Test_DE_0271.T0.de.wav,"Und dann gibt es solche Gesetz in den USA, das Apple auch nicht darüber sprechen darf an solche Geschichten.",1259.3512999992527,0.25819344524380494,0.13827655310621242,And then there's such laws in the US that Apple can't talk about it and stories like that.,And then there's such laws in the US that Apple can't talk about it and stories like that.,And then there's such a law in the US that Apple can't talk about it either.,And then there is such a law in the US that Apple is not allowed to talk about it in such stories.
0282,"Ne, die haben so eine, wie soll ich das sagen?
Wenn da irgendwas Neues kommt, dann kaufen die das auf.
Die haben ja so viel Geld, das ist ja alles kein Problem.
WhatsApp gehört ja auch zu Facebook.
Und das wird sich so etablieren.
Facebook wie Google, oder wie Microsoft.
Obwohl Microsoft vorher nur von der Software lebt, ne?
Ja, also die werden alles aufkaufen, tipp ich.
Ich meine WhatsApp wurde jetzt auch aufgekauft.","You know, they have like a, how can I say?
When something new appears, they buy it all up.
They have so much money, all of that's not a problem.
WhatsApp does belong to Facebook too.
And that is going to establish itself like that.
Facebook like Google, or like Microsoft.
Although Microsoft used to live just off of software, right?
Yes, I bet they'll buy up everything.
I think WhatsApp has been bought up now, too.",D:\BridgeDEUX\analysis\mobile_benchmark_audio_100\mslt\MSLT_Test_DE_0282.T0.de.wav,"Nee, die haben so eine, wie soll ich das sagen, wenn da irgendwas neues kommt, dann kaufen die das auf, der mir so viel Geld, das ist alles kein Problem. WhatsApp gehört ja auch zu Facebook und das wird sich so etablieren, Facebook wie Google oder wie Microsoft, obwohl ja Microsoft eigentlich auch noch von der Software lebten. Ja, also sie werden alles aufkaufen, tippe ich. Ich meine, WhatsApp wurde jetzt auch aufgekauft.",1871.6820999998163,0.25819344524380494,0.13827655310621242,"No, they have one like that, how am I supposed to say that? If something new comes up, they buy it up. They have so much money, that's not a problem. WhatsApp is also part of Facebook. And that's going to be so established. Facebook like Google, or like Microsoft. Although Microsoft only lives on the software before, no? Yes, so they will buy it all up, I guess. I mean WhatsApp was bought up now.","They have so much money, that's not a problem. WhatsApp is also a part of Facebook. And that's going to be so established. Facebook like Google, or like Microsoft. Although Microsoft only lives from the software before, no? Yes, so they're going to buy it all up, I guess. I mean WhatsApp has been bought up now too.","No, they have one like that, how can I say that, if something new comes up, then they buy that up, which is so much money to me, that's all no problem. WhatsApp is also part of Facebook and that will establish itself like Facebook like Google or like Microsoft, even though Microsoft actually still lived from the software. Yes, so they will buy everything, I tap. I mean, WhatsApp was bought now.","No, they have one like that, how can I say that, if something new comes up, then they buy it up, which is so much money to me, that's all no problem. WhatsApp is also part of Facebook and that will establish itself like Facebook like Google or like Microsoft, even though Microsoft actually also lived from the software. Yes, so they will buy everything up, I tap. I mean, WhatsApp was bought up now too."
